SequenceName	ClusterNumber
KEXV01036995|Brazil|Pernambuco|2016-01-15	-1
JQ083069|Romania|2007-01-15	-1
EU189709|Brazil|SaoPaulo|2005-01-15	200
MT741467|FrenchGuiana|2016-01-15	184
MK177760|Spain|2017-01-15	329
KEXV01016266|Brazil|SaoPaulo|2015-01-15	-1
MK177701|Spain|2018-01-15	329
KT355973|Brazil|RioDeJaneiro|RioDeJaneiro|2009-01-15	-1
KEXV01043679|Brazil|SaoPaulo|2016-01-15	-1
KY639933|Brazil|SaoPaulo|2014-01-15	171
KEXV01012115|Brazil|MatoGrosso|2014-01-15	-1
GQ131598|Switzerland|2006-01-15	-1
KEXV01036927|Brazil|Pernambuco|2016-01-15	-1
KJ395718|CapeVerde|2011-01-15	-1
KJ194686|Romania|2012-01-15	-1
MK177738|Spain|2015-01-15	329
KEXV01014569|Brazil|SaoPaulo|2014-01-15	-1
EU553008|Romania|2003-01-15	-1
MH471670|Germany|2013-01-15	367
MN528462|Brazil|Para|Bragaca|2017-01-15	19
KEXV01031488|Brazil|Alagoas|2017-01-15	-1
KEXV01007669|Brazil|Bahia|2014-01-15	145
KJ194813|Romania|2013-01-15	-1
KEXV01046104|Brazil|SaoPaulo|2017-01-15	-1
EU553009|Romania|2003-01-15	339
KEXV01041941|Brazil|SantaCatarina|2016-01-15	-1
KU684722|Cameroon|2012-01-15	-1
KEXV01035580|Brazil|MatoGrossoDoSul|2016-01-15	-1
GQ862323|Brazil|MinasGerais|BeloHorizonte|2007-01-15	-1
JN937019|Angola|2008-01-15	-1
GQ399883|Italy|2003-01-15	-1
HM534092|Brazil|SaoPaulo|2009-01-15	-1
HM025409|Brazil|SaoPaulo|2007-01-15	-1
KEXV01039786|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01037216|Brazil|Pernambuco|2017-01-15	-1
KEXV01012074|Brazil|MatoGrossoDoSul|2015-01-15	-1
HM191564|Romania|2003-01-15	306
KEXV01037807|Brazil|Parana|2016-01-15	-1
KEXV01037374|Brazil|Pernambuco|2017-01-15	-1
MN236698|Brazil|SaoPaulo|2015-01-15	100
KJ194829|Romania|2013-01-15	-1
KEXV01037843|Brazil|Parana|2016-01-15	-1
KEXV01011515|Brazil|SaoPaulo|2014-01-15	217
KEXV01034613|Brazil|MinasGerais|2016-01-15	-1
KEXV01033538|Brazil|EspiritoSanto|2016-01-15	-1
KEXV01046125|Brazil|SaoPaulo|2017-01-15	-1
MN236079|Brazil|SaoPaulo|2014-01-15	115
KEXV01039883|Brazil|RioGrandeDoNorte|2016-01-15	-1
KEXV01045693|Brazil|SaoPaulo|2017-01-15	-1
KEXV01041533|Brazil|RioGrandeDoSul|2017-01-15	118
AY643234|Brazil|SaoPaulo|2003-01-15	-1
KX759513|UnitedKingdom|2013-01-15	250
KEXV01043775|Brazil|SaoPaulo|2016-01-15	260
MN236374|Brazil|SaoPaulo|2014-01-15	-1
EU552955|Romania|2003-01-15	-1
KEXV01039215|Brazil|RioDeJaneiro|2017-01-15	-1
GQ399927|Italy|2005-01-15	-1
KT737290|Brazil|Amapa|2014-01-15	-1
KEXV01046677|Brazil|SaoPaulo|2017-01-15	-1
KEXV01008672|Brazil|RioDeJaneiro|2015-01-15	-1
KEXV01032748|Brazil|Bahia|2017-01-15	-1
KEXV01044759|Brazil|SaoPaulo|2016-01-15	-1
KEXV01032235|Brazil|Bahia|2016-01-15	-1
EU552956|Romania|2003-01-15	-1
KEXV01037297|Brazil|Pernambuco|2017-01-15	-1
KEXV01035297|Brazil|MinasGerais|2017-01-15	-1
JQ083021|Romania|2007-01-15	-1
KEXV01011714|Brazil|SaoPaulo|2015-01-15	304
KEXV01035617|Brazil|MatoGrossoDoSul|2017-01-15	143
KEXV01044649|Brazil|SaoPaulo|2016-01-15	-1
MN237280|Brazil|SaoPaulo|2017-01-15	-1
KT951014|Brazil|Bahia|VerificarCidade|2012-01-15	16
EU553243|Romania|2006-01-15	326
KEXV01011500|Brazil|SaoPaulo|2014-01-15	-1
JQ083022|Romania|2007-01-15	-1
EU553163|Romania|2005-01-15	-1
EU553083|Romania|2004-01-15	-1
KEXV01033051|Brazil|Ceara|2016-01-15	-1
KEXV01032007|Brazil|Amapa|2017-01-15	-1
KEXV01011604|Brazil|SaoPaulo|2015-01-15	257
HQ638774|Brazil|MatoGrosso|Cuiaba|2009-01-15	-1
KEXV01046772|Brazil|SaoPaulo|2017-01-15	-1
KEXV01008253|Brazil|RioDeJaneiro|2014-01-15	-1
KEXV01007157|Brazil|MinasGerais|2014-01-15	-1
KJ659002|Brazil|Goias|2012-01-15	-1
KEXV01033623|Brazil|EspiritoSanto|2016-01-15	65
KEXV01046698|Brazil|SaoPaulo|2017-01-15	-1
KEXV01034873|Brazil|MinasGerais|2016-01-15	-1
EU189716|Brazil|SaoPaulo|2005-01-15	-1
JN114212|Brazil|Goias|Goiania|2010-01-15	-1
KEXV01034475|Brazil|Maranhao|2017-01-15	219
DQ878622|Italy|2003-01-15	-1
KEXV01029321|Brazil|Amazonas|2015-01-15	-1
JN937092|Angola|2010-01-15	-1
KEXV01037768|Brazil|Parana|2016-01-15	-1
MN237379|Brazil|SaoPaulo|2014-01-15	49
JX300366|Romania|2007-01-15	199
JQ083037|Romania|2007-01-15	-1
KX159053|Romania|2014-01-15	228
KEXV01034060|Brazil|Goias|2017-01-15	-1
KEXV01006914|Brazil|MinasGerais|2014-01-15	-1
MN509136|Brazil|Goias|2014-01-15	-1
KEXV01043650|Brazil|SaoPaulo|2016-01-15	-1
KEXV01004808|Brazil|Bahia|2015-01-15	-1
KEXV01044339|Brazil|SaoPaulo|2016-01-15	-1
JQ083038|Romania|2007-01-15	258
EU553179|Romania|2005-01-15	-1
KEXV01039292|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01034640|Brazil|MinasGerais|2016-01-15	-1
KJ883103|Spain|2012-01-15	-1
EU553099|Romania|2004-01-15	-1
KEXV01007589|Brazil|MinasGerais|2015-01-15	-1
KEXV01011521|Brazil|SaoPaulo|2014-01-15	277
HM191563|Romania|2004-01-15	-1
KEXV01029732|Brazil|Pernambuco|2015-01-15	-1
GQ294600|Brazil|SaoPaulo|2006-01-15	-1
KEXV01039244|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01039031|Brazil|RioDeJaneiro|2017-01-15	-1
EF120104|Argentina|2003-01-15	-1
MT788128|Italy|2016-01-15	292
EU553052|Romania|2003-01-15	-1
KEXV01008702|Brazil|RioDeJaneiro|2015-01-15	-1
MW489652|Italy|2014-01-15	-1
KEXV01043135|Brazil|SaoPaulo|2016-01-15	-1
KEXV01035730|Brazil|MatoGrosso|2016-01-15	-1
EU293508|Brazil|SaoPaulo|Santos|2006-01-15	-1
MT788308|Italy|2012-01-15	286
KX159069|Romania|2014-01-15	-1
MF545228|Brazil|MatoGrossoDoSul|2011-01-15	-1
KEXV01036643|Brazil|Paraiba|2017-01-15	-1
KEXV01007598|Brazil|MinasGerais|2015-01-15	-1
KEXV01008331|Brazil|RioDeJaneiro|2014-01-15	-1
KEXV01043671|Brazil|SaoPaulo|2016-01-15	-1
KEXV01036874|Brazil|Pernambuco|2016-01-15	-1
KEXV01036473|Brazil|Para|2017-01-15	-1
KJ194702|Romania|2012-01-15	352
KF782688|Brazil|Maranhao|2012-01-15	34
JN010232|Spain|2011-01-15	-1
KEXV01032389|Brazil|Bahia|2016-01-15	165
KP121154|Turkey|2014-01-15	-1
KEXV01007205|Brazil|MinasGerais|2014-01-15	80
KEXV01039367|Brazil|RioDeJaneiro|2017-01-15	-1
EU553068|Romania|2003-01-15	356
EU822679|Spain|2007-01-15	-1
KEXV01038748|Brazil|RioDeJaneiro|2016-01-15	-1
KEXV01002604|Brazil|Goias|2015-01-15	-1
KEXV01006932|Brazil|MinasGerais|2014-01-15	-1
KEXV01042365|Brazil|SantaCatarina|2017-01-15	-1
KEXV01043561|Brazil|SaoPaulo|2016-01-15	-1
MN236160|Brazil|SaoPaulo|2014-01-15	-1
MN528366|Brazil|Para|2016-01-15	-1
KJ194793|Romania|2012-01-15	199
KC340378|Spain|2008-01-15	-1
KEXV01042541|Brazil|SantaCatarina|2017-01-15	-1
KF853715|Angola|2009-01-15	-1
KEXV01036964|Brazil|Pernambuco|2016-01-15	-1
AY643241|Brazil|SaoPaulo|2003-01-15	-1
HM025259|Brazil|SaoPaulo|2006-01-15	-1
MN236050|Brazil|SaoPaulo|2014-01-15	217
JX301153|Romania|2007-01-15	-1
KJ194718|Romania|2012-01-15	-1
KT951057|Brazil|Bahia|VerificarCidade|2012-01-15	201
KEXV01029745|Brazil|Pernambuco|2015-01-15	-1
KEXV01005073|Brazil|Ceara|2015-01-15	-1
KEXV01044435|Brazil|SaoPaulo|2016-01-15	-1
KEXV01040125|Brazil|Roraima|2017-01-15	-1
JX460558|UnitedStates|2010-01-15	-1
KEXV01039936|Brazil|RioGrandeDoNorte|2016-01-15	-1
MN237469|Brazil|SaoPaulo|2015-01-15	-1
KEXV01011721|Brazil|SaoPaulo|2015-01-15	247
MN235956|Brazil|SaoPaulo|2014-01-15	-1
KEXV01011469|Brazil|SaoPaulo|2014-01-15	-1
KEXV01039707|Brazil|RioDeJaneiro|2017-01-15	-1
MN236690|Brazil|SaoPaulo|2015-01-15	-1
EU553210|Romania|2006-01-15	-1
KEXV01046484|Brazil|SaoPaulo|2017-01-15	-1
KEXV01045928|Brazil|SaoPaulo|2017-01-15	-1
MT570504|UnitedKingdom|2015-01-15	353
JQ280923|Romania|2003-01-15	-1
AY566123|Colombia|Bogota|2000-01-15	-1
KEXV01036564|Brazil|Paraiba|2016-01-15	-1
KJ849791|Brazil|RioDeJaneiro|2010-01-15	-1
KEXV01041622|Brazil|RioGrandeDoSul|2017-01-15	-1
HM025458|Brazil|SaoPaulo|2007-01-15	-1
EU553131|Romania|2005-01-15	-1
AF204047|Romania|1997-01-15	-1
KEXV01040873|Brazil|RioGrandeDoSul|2016-01-15	-1
EU189723|Brazil|SaoPaulo|2005-01-15	-1
KEXV01032769|Brazil|Bahia|2017-01-15	8
KEXV01044456|Brazil|SaoPaulo|2016-01-15	-1
KEXV01038777|Brazil|RioDeJaneiro|2016-01-15	-1
KX159020|Romania|2014-01-15	-1
JQ280938|Romania|2003-01-15	312
MN236292|Brazil|SaoPaulo|2014-01-15	-1
KEXV01044965|Brazil|SaoPaulo|2017-01-15	-1
KEXV01039661|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01029563|Brazil|Para|2015-01-15	-1
KJ883134|Spain|2013-01-15	-1
KEXV01037251|Brazil|Pernambuco|2017-01-15	-1
KEXV01036977|Brazil|Pernambuco|2016-01-15	-1
EU553226|Romania|2006-01-15	327
KEXV01015965|Brazil|SaoPaulo|2015-01-15	-1
AF447857|Romania|1994-01-15	-1
KEXV01035427|Brazil|MinasGerais|2017-01-15	-1
KEXV01007392|Brazil|MinasGerais|2015-01-15	-1
JQ280939|Romania|2003-01-15	-1
KEXV01008592|Brazil|RioDeJaneiro|2015-01-15	238
KEXV01039400|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01035164|Brazil|MinasGerais|2017-01-15	-1
KEXV01032047|Brazil|Bahia|2016-01-15	-1
EU553227|Romania|2006-01-15	344
KEXV01040088|Brazil|Roraima|2017-01-15	-1
EU553147|Romania|2005-01-15	-1
JX299937|Belgium|2007-01-15	250
MG365876|Brazil|RioDeJaneiro|2002-01-15	-1
MN237049|Brazil|SaoPaulo|2015-01-15	-1
KEXV01037176|Brazil|Pernambuco|2017-01-15	-1
KEXV01011454|Brazil|SaoPaulo|2014-01-15	102
KX887815|Brazil|Bahia|2015-01-15	-1
JN010222|Spain|2010-01-15	-1
EU822753|Spain|2007-01-15	-1
EU189744|Brazil|SaoPaulo|2005-01-15	245
EU553270|Romania|2005-01-15	-1
EU553020|Romania|2003-01-15	298
KEXV01040046|Brazil|Roraima|2016-01-15	-1
AY771388|Brazil|SaoPaulo|SaoPaulo|1999-01-15	-1
MN237117|Brazil|SaoPaulo|2016-01-15	-1
KEXV01037108|Brazil|Pernambuco|2017-01-15	-1
KEXV01036526|Brazil|Paraiba|2016-01-15	-1
KEXV01035173|Brazil|MinasGerais|2017-01-15	-1
JN859590|Spain|2011-01-15	-1
KX159037|Romania|2014-01-15	-1
EF449399|Greece|2005-01-15	303
KEXV01035683|Brazil|MatoGrossoDoSul|2017-01-15	-1
KEXV01029540|Brazil|Para|2015-01-15	-1
