** Cluster Picker Results **
Cluster Picker v 1.2.5
Input sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.fasta
Input tree =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.nwk
Initial support threshold=	90.0
Support threshold=	90.0
Genetic distance threshold=	0.03
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1ta_alnedited_subtypeF1_clusterPicks.fas
Output tree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk
Output figtree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk.figTree
-------------------------
There are	4493	sequences
Tree has	4493	tips
Found	381	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
68	2	2	[MH673059|Brazil|Amazonas|2014-01-15, MN528360|Brazil|Para|2014-01-15]	100.0	0.010784313725490196
69	2	2	[KEXV01008558|Brazil|RioDeJaneiro|2015-01-15, KEXV01008561|Brazil|RioDeJaneiro|2015-01-15]	100.0	0.013725490196078431
70	2	2	[KT355895|Brazil|Bahia|Salvador|2009-01-15, KEXV01032318|Brazil|Bahia|2016-01-15]	95.2	0.027450980392156862
71	4	4	[KEXV01033313|Brazil|DistritoFederal|2016-01-15, KEXV01033321|Brazil|DistritoFederal|2016-01-15, KEXV01035989|Brazil|Para|2016-01-15, KEXV01044232|Brazil|SaoPaulo|2016-01-15]	99.2	0.026470588235294117
72	3	3	[KEXV01011976|Brazil|SaoPaulo|2015-01-15, MN236891|Brazil|SaoPaulo|2015-01-15, KEXV01046231|Brazil|SaoPaulo|2017-01-15]	100.0	0.028431372549019607
73	2	2	[JN114167|Brazil|Goias|Goiania|2009-01-15, KJ658999|Brazil|Goias|2012-01-15]	100.0	0.016666666666666666
74	3	3	[KEXV01011890|Brazil|SaoPaulo|2015-01-15, MN236795|Brazil|SaoPaulo|2015-01-15, KEXV01014785|Brazil|SaoPaulo|2014-01-15]	100.0	0.026470588235294117
75	2	2	[KEXV01011921|Brazil|SaoPaulo|2015-01-15, MN236830|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
76	2	2	[KEXV01007285|Brazil|MinasGerais|2015-01-15, KX888401|Brazil|MinasGerais|2015-01-15]	96.5	0.027450980392156862
77	2	2	[MN971889|Brazil|Maranhao|2016-01-15, KEXV01034292|Brazil|Maranhao|2016-01-15]	100.0	0.00196078431372549
78	2	2	[MN971894|Brazil|Maranhao|2017-01-15, KEXV01034359|Brazil|Maranhao|2017-01-15]	100.0	0.0
79	2	2	[KEXV01011595|Brazil|SaoPaulo|2015-01-15, MN236506|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
80	2	2	[KEXV01007205|Brazil|MinasGerais|2014-01-15, KEXV01034875|Brazil|MinasGerais|2016-01-15]	100.0	0.026470588235294117
81	2	2	[GQ862307|Brazil|MinasGerais|BeloHorizonte|2006-01-15, KEXV01007215|Brazil|MinasGerais|2014-01-15]	99.6	0.027450980392156862
82	5	5	[MF403301|Spain|2007-01-15, MF403324|Spain|2012-01-15, MF403297|Spain|Valencia|2013-01-15, MF403322|Spain|Valencia|2013-01-15, MF403328|Spain|Valencia|2013-01-15]	91.5	0.026470588235294117
83	3	3	[AY999541|Brazil|SaoPaulo|SaoPaulo|1998-01-15, KEXV01016107|Brazil|SaoPaulo|2015-01-15, KEXV01045797|Brazil|SaoPaulo|2017-01-15]	92.4	0.025490196078431372
84	3	3	[KEXV01046303|Brazil|SaoPaulo|2017-01-15, GU288711|Brazil|SaoPaulo|2004-01-15, GU288812|Brazil|SaoPaulo|2004-01-15]	99.7	0.029411764705882353
85	4	4	[KEXV01011583|Brazil|SaoPaulo|2015-01-15, KEXV01015582|Brazil|SaoPaulo|2015-01-15, MN236359|Brazil|SaoPaulo|2014-01-15, KEXV01042861|Brazil|SaoPaulo|2015-01-15]	98.2	0.024509803921568627
86	2	2	[KX357299|Brazil|RioDeJaneiro|NovaIguacu|2015-01-15, KX357303|Brazil|RioDeJaneiro|NovaIguacu|2015-01-15]	99.8	0.01568627450980392
87	2	2	[EU552971|Romania|2003-01-15, EU553242|Romania|2006-01-15]	100.0	0.006862745098039216
88	2	2	[JN196018|Brazil|SaoPaulo|SaoPaulo|2010-01-15, KEXV01015889|Brazil|SaoPaulo|2015-01-15]	95.9	0.0196078431372549
89	2	2	[KEXV01011507|Brazil|SaoPaulo|2014-01-15, MN236025|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
90	2	2	[HV0119|Brazil|Bahia|2014-12-12, KEXV01032445|Brazil|Bahia|2016-01-15]	98.1	0.026470588235294117
91	3	3	[HV0199|Brazil|Bahia|2015-03-09, MK064264|Germany|2013-01-15, KEXV01032556|Brazil|Bahia|2017-01-15]	96.3	0.024509803921568627
92	2	2	[KC352099|China|2007-01-15, KT378870|China|2009-01-15]	97.4	0.01764705882352941
93	4	4	[KEXV01007106|Brazil|MinasGerais|2014-01-15, KEXV01007268|Brazil|MinasGerais|2015-01-15, KEXV01007344|Brazil|MinasGerais|2015-01-15, KEXV01007525|Brazil|MinasGerais|2015-01-15]	100.0	0.029411764705882353
94	2	2	[KX887965|Brazil|Pernambuco|2015-01-15, KEXV01036922|Brazil|Pernambuco|2016-01-15]	99.8	0.023529411764705882
95	2	2	[KEXV01034870|Brazil|MinasGerais|2016-01-15, KEXV01035068|Brazil|MinasGerais|2017-01-15]	100.0	0.026470588235294117
96	2	2	[KEXV01036185|Brazil|Para|2017-01-15, KEXV01036245|Brazil|Para|2017-01-15]	96.1	0.023529411764705882
97	2	2	[KEXV01036359|Brazil|Para|2017-01-15, KEXV01036430|Brazil|Para|2017-01-15]	100.0	0.00980392156862745
98	2	2	[KU052741|FrenchGuiana|2006-01-15, MT741463|FrenchGuiana|2015-01-15]	93.0	0.016666666666666666
99	2	2	[KEXV01046170|Brazil|SaoPaulo|2017-01-15, KEXV01046684|Brazil|SaoPaulo|2017-01-15]	97.9	0.023529411764705882
100	2	2	[KEXV01011797|Brazil|SaoPaulo|2015-01-15, MN236698|Brazil|SaoPaulo|2015-01-15]	97.8	0.0
101	2	2	[KEXV01015470|Brazil|SaoPaulo|2015-01-15, KEXV01043647|Brazil|SaoPaulo|2016-01-15]	95.7	0.029411764705882353
102	2	2	[KEXV01011454|Brazil|SaoPaulo|2014-01-15, MN236061|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
103	2	2	[KEXV01038276|Brazil|RioDeJaneiro|2016-01-15, KT951048|Brazil|Bahia|VerificarCidade|2012-01-15]	98.4	0.022549019607843137
104	2	2	[KEXV01034043|Brazil|Goias|2017-01-15, KEXV01034151|Brazil|Goias|2017-01-15]	97.0	0.024509803921568627
105	2	2	[GU121170|Brazil|Bahia|FeiraDeSantana|2007-01-15, KEXV01032718|Brazil|Bahia|2017-01-15]	97.3	0.028431372549019607
106	2	2	[DQ189088|Argentina|2002-01-15, JN671057|Argentina|2006-01-15]	97.4	0.016666666666666666
107	2	2	[KEXV01008646|Brazil|RioDeJaneiro|2015-01-15, KEXV01045592|Brazil|SaoPaulo|2017-01-15]	99.9	0.020588235294117647
108	2	2	[JF342291|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15, MF545204|Brazil|MatoGrossoDoSul|2011-01-15]	99.6	0.00980392156862745
109	2	2	[KEXV01044466|Brazil|SaoPaulo|2016-01-15, KEXV01044667|Brazil|SaoPaulo|2016-01-15]	91.0	0.01764705882352941
110	2	2	[MT788008|Italy|2014-01-15, MT788026|Italy|2014-01-15]	100.0	0.0029411764705882353
111	3	3	[KY640117|Brazil|SaoPaulo|2015-01-15, KEXV01011683|Brazil|SaoPaulo|2015-01-15, MN237400|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
112	2	2	[KEXV01044224|Brazil|SaoPaulo|2016-01-15, MN237047|Brazil|SaoPaulo|2015-01-15]	100.0	0.00980392156862745
113	3	3	[KY640032|Brazil|SaoPaulo|2015-01-15, KEXV01011926|Brazil|SaoPaulo|2015-01-15, MN236835|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
114	3	3	[KEXV01035754|Brazil|MatoGrosso|2016-01-15, KEXV01035769|Brazil|MatoGrosso|2016-01-15, KEXV01035770|Brazil|MatoGrosso|2016-01-15]	98.8	0.023529411764705882
115	4	4	[KY639892|Brazil|SaoPaulo|2014-01-15, KEXV01011455|Brazil|SaoPaulo|2014-01-15, MN236079|Brazil|SaoPaulo|2014-01-15, MN237216|Brazil|SaoPaulo|2017-01-15]	100.0	0.004901960784313725
116	2	2	[MF545199|Brazil|MatoGrossoDoSul|2011-01-15, MF545202|Brazil|MatoGrossoDoSul|2011-01-15]	100.0	0.018627450980392157
117	2	2	[KEXV01002713|Brazil|Maranhao|2015-01-15, MN971885|Brazil|Maranhao|2015-01-15]	97.5	9.80392156862745E-4
118	2	2	[KEXV01041533|Brazil|RioGrandeDoSul|2017-01-15, KEXV01041534|Brazil|RioGrandeDoSul|2017-01-15]	95.2	0.023529411764705882
119	3	3	[KEXV01011821|Brazil|SaoPaulo|2015-01-15, MN236732|Brazil|SaoPaulo|2015-01-15, KY640016|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
120	3	3	[KEXV01036801|Brazil|Pernambuco|2016-01-15, KEXV01036813|Brazil|Pernambuco|2016-01-15, KEXV01037000|Brazil|Pernambuco|2016-01-15]	95.6	0.028431372549019607
121	2	2	[KEXV01002594|Brazil|Goias|2015-01-15, KEXV01033385|Brazil|DistritoFederal|2016-01-15]	100.0	0.01568627450980392
122	2	2	[KEXV01011779|Brazil|SaoPaulo|2015-01-15, MN236669|Brazil|SaoPaulo|2015-01-15]	99.8	0.0
123	2	2	[KEXV01044374|Brazil|SaoPaulo|2016-01-15, MN237460|Brazil|SaoPaulo|2015-01-15]	99.8	0.0058823529411764705
124	2	2	[KY639917|Brazil|SaoPaulo|2014-01-15, MN236213|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
125	2	2	[EU189718|Brazil|SaoPaulo|2005-01-15, AY643247|Brazil|SaoPaulo|2003-01-15]	100.0	0.00980392156862745
126	2	2	[AY643209|Brazil|SaoPaulo|2002-01-15, KEXV01045214|Brazil|SaoPaulo|2017-01-15]	99.9	0.024509803921568627
127	2	2	[KY639862|Brazil|SaoPaulo|2014-01-15, MN235963|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
128	2	2	[MN971893|Brazil|Maranhao|2016-01-15, KEXV01034193|Brazil|Maranhao|2016-01-15]	98.7	0.0
129	2	2	[KEXV01031442|Brazil|Alagoas|2017-01-15, KEXV01031443|Brazil|Alagoas|2017-01-15]	100.0	0.029411764705882353
130	2	2	[KEXV01004962|Brazil|Bahia|2015-01-15, KEXV01004963|Brazil|Bahia|2015-01-15]	100.0	0.006862745098039216
131	2	2	[KEXV01044196|Brazil|SaoPaulo|2016-01-15, MN237272|Brazil|SaoPaulo|2017-01-15]	100.0	0.004901960784313725
132	3	3	[KEXV01011613|Brazil|SaoPaulo|2015-01-15, KX838562|Brazil|SaoPaulo|2015-01-15, KEXV01011866|Brazil|SaoPaulo|2015-01-15]	100.0	0.026470588235294117
133	2	2	[KP115536|Brazil|SaoPaulo|2014-01-15, KEXV01016225|Brazil|SaoPaulo|2015-01-15]	96.9	0.01568627450980392
134	2	2	[MH673181|Brazil|Amazonas|2015-01-15, MN528359|Brazil|Para|2014-01-15]	99.1	0.0058823529411764705
135	2	2	[KEXV01030912|Brazil|Parana|2015-01-15, KEXV01030913|Brazil|Parana|2015-01-15]	99.8	0.012745098039215686
136	3	3	[JN010604|Brazil|RioGrandeDoSul|RioGrande|2005-01-15, KEXV01040573|Brazil|RioGrandeDoSul|2016-01-15, MN237069|Brazil|SaoPaulo|2016-01-15]	95.4	0.029411764705882353
137	2	2	[KY639968|Brazil|SaoPaulo|2014-01-15, MN236424|Brazil|SaoPaulo|2014-01-15]	100.0	0.0
138	2	2	[KEXV01007334|Brazil|MinasGerais|2015-01-15, KEXV01035389|Brazil|MinasGerais|2017-01-15]	90.4	0.029411764705882353
139	3	3	[KEXV01006895|Brazil|MinasGerais|2014-01-15, KEXV01007258|Brazil|MinasGerais|2015-01-15, KEXV01007265|Brazil|MinasGerais|2015-01-15]	99.9	0.023529411764705882
140	2	2	[KEXV01034820|Brazil|MinasGerais|2016-01-15, KEXV01035225|Brazil|MinasGerais|2017-01-15]	100.0	0.023529411764705882
141	2	2	[KY640059|Brazil|SaoPaulo|2015-01-15, MN236980|Brazil|SaoPaulo|2015-01-15]	99.9	0.0
142	2	2	[KEXV01011946|Brazil|SaoPaulo|2015-01-15, MN236853|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
143	2	2	[KEXV01012088|Brazil|MatoGrossoDoSul|2015-01-15, KEXV01035617|Brazil|MatoGrossoDoSul|2017-01-15]	99.0	0.027450980392156862
144	2	2	[KY640030|Brazil|SaoPaulo|2015-01-15, MN236820|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
145	2	2	[KY581423|Brazil|Bahia|2014-01-15, KEXV01007669|Brazil|Bahia|2014-01-15]	99.9	0.0
146	3	3	[GQ400186|Austria|2004-01-15, GQ400234|Austria|2004-01-15, JX300203|Austria|2007-01-15]	92.8	0.018627450980392157
147	2	2	[KEXV01036726|Brazil|Pernambuco|2016-01-15, KEXV01037268|Brazil|Pernambuco|2017-01-15]	99.7	0.016666666666666666
148	2	2	[KEXV01014592|Brazil|SaoPaulo|2014-01-15, KEXV01045317|Brazil|SaoPaulo|2017-01-15]	99.9	0.025490196078431372
149	2	2	[KEXV01037731|Brazil|Parana|2016-01-15, KM851167|Brazil|Parana|2012-01-15]	98.0	0.013725490196078431
150	3	3	[KY640129|Brazil|SaoPaulo|2015-01-15, KEXV01011832|Brazil|SaoPaulo|2015-01-15, MN237422|Brazil|SaoPaulo|2015-01-15]	98.5	0.0
151	3	3	[AY441851|Brazil|SaoPaulo|SaoPaulo|2000-01-15, JN195857|Brazil|SaoPaulo|SaoPaulo|2004-01-15, MN237150|Brazil|SaoPaulo|2016-01-15]	94.2	0.028431372549019607
152	2	2	[KT737349|Brazil|Amapa|2014-01-15, KT737353|Brazil|Amapa|2014-01-15]	99.5	0.00980392156862745
153	2	2	[AY213523|Brazil|Parana|Curitiba|2001-01-15, FJ591249|Brazil|Parana|2005-01-15]	92.4	0.025490196078431372
154	2	2	[KEXV01011984|Brazil|SaoPaulo|2015-01-15, MN237434|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
155	4	4	[HM534039|Brazil|SaoPaulo|2009-01-15, HM534041|Brazil|SaoPaulo|2009-01-15, HM534040|Brazil|SaoPaulo|2009-01-15, HM534137|Brazil|SaoPaulo|2009-01-15]	90.6	0.024509803921568627
156	2	2	[GQ399076|Italy|2003-01-15, GQ399702|Italy|2003-01-15]	99.9	0.014705882352941176
157	2	2	[KEXV01011705|Brazil|SaoPaulo|2015-01-15, MN236584|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
